ric;rt_close;date;rt_ts;rt_currency;rt_trade_volume;region;mic;factset_close;factset_last;factset_currency;factset_updated_on;factset_late_close;factset_late_last;factset_late_updated_on;factset_late_currency;edi_ask;edi_bid;edi_last;edi_close;edi_currency;edi_trade_date;edi_updated_on;manual_close;manual_currency;manual_entry_date;manual_entry_source;trading_status;security_type;real_asset_class;golden_close;status
ARZA.KW;0.337;14/08/2025;2025-08-14 10:00:02.319749 UTC;KWD;10226;ASIA;XKUW;0.337;0.337;KWD;2025-08-14 22:15:46.859085 UTC;0.337;0.337;2025-08-14 22:15:46.859085 UTC;KWD;0.341;0.332;0.337;0.337;KWD;14/08/2025;2025-08-15 22:04:34.880061 UTC;;;;;NORMAL;;SHARE;0.337;VALIDATED
LVX.AS;0.9318;6/01/2025;2025-01-06 17:00:01.219813 UTC;EUR;50;EUROPE;XAMS;0.9318;0.9318;EUR;2025-01-06 23:15:55.605843 UTC;0.9318;0.9318;2025-01-06 23:15:55.605843 UTC;EUR;0.999;0.92;0;0.9309;EUR;6/01/2025;2025-01-08 23:01:57.681922 UTC;;;;;NORMAL;ETP;SHARE;0.9318;UNVALIDATED
CENCOSUD.SN;3140;17/06/2025;2025-06-17 20:02:07.214827 UTC;CLP;606;AMERICA;XSGO;3140;3140;CLP;2025-06-17 22:15:45.956838 UTC;;;;CLP;0;0;0;3140;CLP;17/06/2025;2025-06-19 22:01:48.787615 UTC;;;;;NORMAL;Common Stock;SHARE;3140;VALIDATED
HHDC.CO;116;14/03/2025;2025-03-14 16:20:01.296614 UTC;DKK;100;EUROPE;XCSE;116;116;DKK;2025-03-14 22:45:45.932365 UTC;116;116;2025-03-14 22:45:45.932365 UTC;DKK;116;115.4;0;116;DKK;14/03/2025;2025-03-16 23:01:52.013627 UTC;;;;;NORMAL;;SHARE;116;VALIDATED
DSFIR.AS;97.72;31/12/2024;;EUR;130;EUROPE;XAMS;97.72;97.72;EUR;2024-12-31 23:15:45.918262 UTC;97.72;97.72;2024-12-31 23:15:45.918262 UTC;EUR;97.92;97;0;97.72;EUR;31/12/2024;2025-01-02 23:01:47.036302 UTC;;;;;NORMAL;Common Stock;SHARE;97.72;VALIDATED
EIB.HM;18650;7/02/2025;2025-02-07 12:59:02.149535 UTC;VND;164800;ASIA;XSTC;18650;18650;VND;2025-02-07 22:45:46.149929 UTC;18650;18650;2025-02-07 22:45:46.149929 UTC;VND;0;0;0;18650;VND;7/02/2025;2025-02-09 23:02:04.882739 UTC;;;;;NORMAL;Common Stock;SHARE;18650;VALIDATED
ELE.MC;25.53;24/07/2025;2025-07-24 15:35:09.539820 UTC;EUR;329;EUROPE;XMAD;25.53;25.53;EUR;2025-07-24 22:15:45.096203 UTC;25.53;25.53;2025-07-24 22:15:45.096203 UTC;EUR;25.8;25.48;0;25.53;EUR;24/07/2025;2025-07-25 22:04:33.693556 UTC;;;;;NORMAL;Common Stock;SHARE;25.53;VALIDATED
IMC.WA;28.5;6/06/2025;2025-06-06 15:55:43.578037 UTC;PLN;2;EUROPE;XWAR;28.5;28.5;PLN;2025-06-06 21:45:45.517875 UTC;28.5;28.5;2025-06-06 21:45:45.517875 UTC;PLN;0;0;0;28.5;PLN;6/06/2025;2025-06-08 22:01:47.020138 UTC;;;;;NORMAL;;SHARE;28.5;VALIDATED
FSKRS.HE;14.34;22/08/2025;2025-08-22 16:00:01.353369 UTC;EUR;40;EUROPE;XHEL;14.34;14.34;EUR;2025-08-22 21:45:46.721264 UTC;14.34;14.34;2025-08-22 21:45:46.721264 UTC;EUR;;;;;;;;;;;;NORMAL;Common Stock;SHARE;14.34;SEMI_VALIDATED
NIKL.PS;2.41;5/06/2025;2025-06-05 06:50:01.250146 UTC;PHP;1000;ASIA;XPHS;2.41;2.41;PHP;2025-06-05 22:16:02.483265 UTC;2.41;2.41;2025-06-05 22:16:02.483265 UTC;PHP;2.43;2.41;0;2.41;PHP;5/06/2025;2025-06-06 22:04:26.664421 UTC;;;;;NORMAL;Common Stock;SHARE;2.41;VALIDATED
